Link,Type,Time,Days,Location,Date Range,Schedule Type,Instructor
American Studies: Theory and Method - 47381 - AMST 400 - 010,Class,4:10 pm - 7:00 pm,W,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Colleen Michele  Martell (P)
Independent Study - 48180 - AMST 402 - 010,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Independent Study,John   Pettegrew (P)
Independent Study - 49076 - AMST 402 - 011,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Independent Study,Teaching   Staff (P)
Documentary Film Production - 48889 - AMST 433 - 010,Class,TBA,,To Be Determined-Hrs Arranged,"Aug 25, 2014 - Dec 05, 2014",Independent Study,John   Pettegrew (P)
Documentary Film Production - 48890 - AMST 433 - 011,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Independent Study,Julia Maynard  Maserjian (P)
Master’s Thesis - 48186 - AMST 490 - 011,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Thesis,James B.  Peterson (P)
Master’s Thesis - 48190 - AMST 490 - 012,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Thesis,Edward   Whitley (P)
Master’s Thesis - 48193 - AMST 490 - 013,Class,TBA,,To Be Determined-Hrs Arranged,"Aug 25, 2014 - Dec 05, 2014",Thesis,Mary C.  Foltz (P)
Master’s Thesis - 49077 - AMST 490 - 014,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Thesis,Roger D.  Simon (P)
Master’s Thesis - 49078 - AMST 490 - 015,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Thesis,Mary C.  Foltz (P)