Link,Type,Time,Days,Location,Date Range,Schedule Type,Instructor,Type 2,Time 2,Days 2,Location 2,Date Range 2,Schedule Type 2,Instructor 2
Two-Dimensional Design - 46531 - DES 003 - 010,Class,1:10 pm - 4:00 pm,MW,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Jason E.  Travers (P),,,,,,,
Two-Dimensional Design - 46532 - DES 003 - 011,Class,7:10 pm - 10:00 pm,MW,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Jason E.  Travers (P),,,,,,,
Three-Dimensional Design - 46533 - DES 004 - 010,Class,9:10 am - 12:00 pm,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Amy   Forsyth (P),,,,,,,
Three-Dimensional Design - 44540 - DES 004 - 011,Class,1:10 pm - 4:00 pm,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Amy   Forsyth (P),,,,,,,
Product Design I - 48355 - DES 040 - 010,Class,1:10 pm - 4:00 pm,MW,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Brian Wesley  Heiss (P),,,,,,,
Introduction to Graphic Design - 44541 - DES 053 - 010,Class,1:10 pm - 4:00 pm,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Marilyn Jane  Jones (P),,,,,,,
Web Design I - 46534 - DES 070 - 010,Class,9:10 am - 1:00 pm,F,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Joshua Adam  Miller (P),,,,,,,
Design for the Theatre - 47737 - DES 087 - 010,Class,1:10 pm - 3:00 pm,TR,012  Wilbur Workshop 123W,"Aug 25, 2014 - Dec 05, 2014",Lecture,Melpomene   Katakalos (P),,,,,,,
Sound Design - 45797 - DES 111 - 010,Class,1:10 pm - 3:00 pm,R,049  Zoellner Arts Center 243,"Aug 25, 2014 - Dec 05, 2014",Lecture,Kristian Derek  Ball (P),,,,,,,
Graphic Design: Word and Image - 44567 - DES 153 - 010,Class,9:20 am - 12:00 pm,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Marilyn Jane  Jones (P),,,,,,,
Scene Painting - 49187 - DES 154 - 010,Class,10:10 am - 12:00 pm,TR,049  Zoellner Arts Center 130,"Aug 25, 2014 - Dec 05, 2014",Lecture,Melpomene   Katakalos (P),,,,,,,
Lighting Design - 49178 - DES 186 - 010,Class,1:10 pm - 2:25 pm,TR,049  Zoellner Arts Center 131,"Aug 25, 2014 - Dec 05, 2014",Lecture,Jeffrey R.  Milet (P),,,,,,,
Integrated Product Development (IPD) II - 41001 - DES 212 - 010,Class,2:10 pm - 4:00 pm,WF,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,John B.  Ochs (P),,,,,,,
Product Design III - 47524 - DES 240 - 010,Class,9:10 am - 12:00 pm,MW,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Brian Wesley  Heiss (P),,,,,,,
Special Topics in Design - 48801 - DES 370 - 012,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Marilyn Jane  Jones (P),,,,,,,
Design Internship - 46167 - DES 375 - 010,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Internship,Marilyn Jane  Jones (P),,,,,,,
Honors Project - 47714 - DES 389 - 010,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Independent Study,Teaching   Staff (P),,,,,,,